# GXMame 0.7@@@@@@|NOID|NOCRC|x|2||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
eyes@@-@@-@@Eyes (Digitrex Techstar)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Digitrex Techstar (Rock-ola license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
eyes2@@eyes@@eyes@@Eyes (Techstar)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Techstar (Rock-ola license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
eyeszac@@eyes@@eyes@@Eyes (Zaccaria)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Zaccaria / bootleg|dev-unknown|No Rating|media-unknown|input-unknown|pacman
mrtnt@@-@@-@@Mr. TNT|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Telko|dev-unknown|No Rating|media-unknown|input-unknown|pacman
gorkans@@mrtnt@@mrtnt@@Gorkans|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Techstar|dev-unknown|No Rating|media-unknown|input-unknown|pacman
eggor@@-@@-@@Eggor|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Telko|dev-unknown|No Rating|media-unknown|input-unknown|pacman
jumpshot@@-@@-@@Jump Shot|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Bally Midway|dev-unknown|No Rating|media-unknown|input-unknown|pacman
jumpshtp@@jumpshot@@jumpshot@@Jump Shot Engineering Sample|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Bally Midway|dev-unknown|No Rating|media-unknown|input-unknown|pacman
shootbul@@-@@-@@Shoot the Bull|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Bally Midway|dev-unknown|No Rating|media-unknown|input-unknown|pacman
piranha@@puckman@@puckman@@Piranha|NOID|NOCRC|x|0|1981|No Genre|region-unknown|GL (US Billiards License)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
piranhao@@puckman@@puckman@@Piranha (older)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|GL (US Billiards License)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
nmouse@@-@@-@@Naughty Mouse (set 1)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Amenip (Palcom Queen River)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
nmouseb@@nmouse@@nmouse@@Naughty Mouse (set 2)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Amenip Nova Games Ltd.|dev-unknown|No Rating|media-unknown|input-unknown|pacman
mspacman@@-@@-@@Ms. Pac-Man|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Midway|dev-unknown|No Rating|media-unknown|input-unknown|pacman
mspacmnf@@mspacman@@mspacman@@Ms. Pac-Man (with speedup hack)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Midway|dev-unknown|No Rating|media-unknown|input-unknown|pacman
mspacmat@@mspacman@@mspacman@@Ms. Pac Attack|NOID|NOCRC|x|0|1981|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
woodpek@@-@@-@@Woodpecker (set 1)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Amenip (Palcom Queen River)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
woodpeka@@woodpek@@woodpek@@Woodpecker (set 2)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Amenip|dev-unknown|No Rating|media-unknown|input-unknown|pacman
mspacmab@@mspacman@@mspacman@@Ms. Pac-Man (bootleg)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|pacman
mspacmbe@@mspacman@@mspacman@@Ms. Pac-Man (bootleg, (encrypted))|NOID|NOCRC|x|0|1981|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|pacman
pacgal@@mspacman@@mspacman@@Pac-Gal|NOID|NOCRC|x|0|1981|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
mspacpls@@mspacman@@mspacman@@Ms. Pac-Man Plus|NOID|NOCRC|x|0|1981|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
ponpoko@@-@@-@@Ponpoko|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sigma Enterprises Inc.|dev-unknown|No Rating|media-unknown|input-unknown|pacman
ponpokov@@ponpoko@@ponpoko@@Ponpoko (Venture Line)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sigma Enterprises Inc. (Venture Line license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
lizwiz@@-@@-@@Lizard Wizard|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Techstar (Sunn license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
alibaba@@-@@-@@Ali Baba and 40 Thieves|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|pacman
dremshpr@@-@@-@@Dream Shopper|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sanritsu|dev-unknown|No Rating|media-unknown|input-unknown|pacman
vanvan@@-@@-@@Van-Van Car|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sanritsu|dev-unknown|No Rating|media-unknown|input-unknown|pacman
vanvank@@vanvan@@vanvan@@Van-Van Car (Karateco)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Karateco|dev-unknown|No Rating|media-unknown|input-unknown|pacman
vanvanb@@vanvan@@vanvan@@Van-Van Car (set 3)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Karateco|dev-unknown|No Rating|media-unknown|input-unknown|pacman
bwcasino@@-@@-@@Boardwalk Casino|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|pacman
acitya@@bwcasino@@bwcasino@@Atlantic City Action|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|pacman
theglobp@@suprglob@@suprglob@@The Glob (Pac-Man hardware)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|pacman
sprglobp@@suprglob@@suprglob@@Super Glob (Pac-Man hardware)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|pacman
sprglbpg@@suprglob@@suprglob@@Super Glob (Pac-Man hardware) German|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Bootleg|dev-unknown|No Rating|media-unknown|input-unknown|pacman
beastf@@suprglob@@suprglob@@Beastie Feastie|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|pacman
rocktrv2@@-@@-@@MTV Rock-N-Roll Trivia (Part 2)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Triumph Software Inc.|dev-unknown|No Rating|media-unknown|input-unknown|pacman
bigbucks@@-@@-@@Big Bucks|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Dynasoft Inc.|dev-unknown|No Rating|media-unknown|input-unknown|pacman
mschamp@@mspacman@@mspacman@@Ms. Pacman Champion Edition / Super Zola Pac Gal|NOID|NOCRC|x|0|1995|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
drivfrcp@@-@@-@@Driving Force (Pac-Man conversion)|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Shinkai Inc. (Magic Eletronics Inc. licence)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
8bpm@@8ballact@@8ballact@@Eight Ball Action (Pac-Man conversion)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Seatongrove Ltd (Magic Eletronics USA licence)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
porky@@-@@-@@Porky|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Shinkai Inc. (Magic Eletronics Inc. licence)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
