# GXMame 0.7@@@@@@|NOID|NOCRC|x|2||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
1942b@@1942@@1942@@1942 (set 3)|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|1942
exedexes@@-@@-@@Exed Exes|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|exedexes
savgbees@@exedexes@@exedexes@@Savage Bees|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom (Memetron license)|dev-unknown|No Rating|media-unknown|input-unknown|exedexes
commando@@-@@-@@Commando (World)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|commando
commandu@@commando@@commando@@Commando (US)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom (Data East USA license)|dev-unknown|No Rating|media-unknown|input-unknown|commando
commandj@@commando@@commando@@Senjou no Ookami|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|commando
sinvasn@@commando@@commando@@Space Invasion (Europe)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|commando
sinvasnb@@commando@@commando@@Space Invasion (bootleg)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|commando
gng@@-@@-@@Ghosts'n Goblins (World? set 1)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|gng
gnga@@gng@@gng@@Ghosts'n Goblins (World? set 2)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|gng
gngt@@gng@@gng@@Ghosts'n Goblins (US)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom (Taito America license)|dev-unknown|No Rating|media-unknown|input-unknown|gng
makaimur@@gng@@gng@@Makai-Mura (Japan)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|gng
makaimuc@@gng@@gng@@Makai-Mura (Japan Revision C)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|gng
makaimug@@gng@@gng@@Makai-Mura (Japan Revision G)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|gng
diamond@@-@@-@@Diamond Run|NOID|NOCRC|x|0|1989|No Genre|region-unknown|KH Video|dev-unknown|No Rating|media-unknown|input-unknown|gng
gunsmoke@@-@@-@@Gun.Smoke (World)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|gunsmoke
gunsmoku@@gunsmoke@@gunsmoke@@Gun.Smoke (US set 1)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom (Romstar license)|dev-unknown|No Rating|media-unknown|input-unknown|gunsmoke
gunsmoka@@gunsmoke@@gunsmoke@@Gun.Smoke (US set 2)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom (Romstar license)|dev-unknown|No Rating|media-unknown|input-unknown|gunsmoke
gunsmokj@@gunsmoke@@gunsmoke@@Gun.Smoke (Japan)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|gunsmoke
sectionz@@-@@-@@Section Z (set 1)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
sctionza@@sectionz@@sectionz@@Section Z (set 2)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
trojan@@-@@-@@Trojan (US)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
trojanr@@trojan@@trojan@@Trojan (Romstar)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom (Romstar license)|dev-unknown|No Rating|media-unknown|input-unknown|lwings
trojanj@@trojan@@trojan@@Tatakai no Banka (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
srumbler@@-@@-@@The Speed Rumbler (set 1)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|srumbler
srumblr2@@srumbler@@srumbler@@The Speed Rumbler (set 2)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|srumbler
rushcrsh@@srumbler@@srumbler@@Rush & Crash (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|srumbler
lwings@@-@@-@@Legendary Wings (US set 1)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
lwings2@@lwings@@lwings@@Legendary Wings (US set 2)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
lwingsjp@@lwings@@lwings@@Ares no Tsubasa (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
sidearms@@-@@-@@Side Arms - Hyper Dyne (World)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|sidearms
sidearmr@@sidearms@@sidearms@@Side Arms - Hyper Dyne (US)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom (Romstar license)|dev-unknown|No Rating|media-unknown|input-unknown|sidearms
sidearjp@@sidearms@@sidearms@@Side Arms - Hyper Dyne (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|sidearms
turtship@@-@@-@@Turtle Ship (Japan)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Philko (Pacific Games license)|dev-unknown|No Rating|media-unknown|input-unknown|sidearms
turtshik@@turtship@@turtship@@Turtle Ship (Korea)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Philko|dev-unknown|No Rating|media-unknown|input-unknown|sidearms
dyger@@-@@-@@Dyger (Korea set 1)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Philko|dev-unknown|No Rating|media-unknown|input-unknown|sidearms
dygera@@dyger@@dyger@@Dyger (Korea set 2)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Philko|dev-unknown|No Rating|media-unknown|input-unknown|sidearms
twinfalc@@-@@-@@Twin Falcons|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Philko (Poara Enterprises license)|dev-unknown|No Rating|media-unknown|input-unknown|sidearms
whizz@@twinfalc@@twinfalc@@Whizz|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Philko|dev-unknown|No Rating|media-unknown|input-unknown|sidearms
avengers@@-@@-@@Avengers (US set 1)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
avenger2@@avengers@@avengers@@Avengers (US set 2)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
buraiken@@avengers@@avengers@@Hissatsu Buraiken (Japan)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lwings
bionicc@@-@@-@@Bionic Commando (US set 1)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|bionicc
bionicc2@@bionicc@@bionicc@@Bionic Commando (US set 2)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|bionicc
topsecrt@@bionicc@@bionicc@@Top Secret (Japan)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|bionicc
1943@@-@@-@@1943: The Battle of Midway (US)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|1943
1943j@@1943@@1943@@1943: Midway Kaisen (Japan)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|1943
blktiger@@-@@-@@Black Tiger|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|blktiger
bktigerb@@blktiger@@blktiger@@Black Tiger (bootleg)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|blktiger
blkdrgon@@blktiger@@blktiger@@Black Dragon|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|blktiger
blkdrgnb@@blktiger@@blktiger@@Black Dragon (bootleg)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|blktiger
sf@@-@@-@@Street Fighter (World)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|sf
sfus@@sf@@sf@@Street Fighter (US)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|sf
sfjp@@sf@@sf@@Street Fighter (Japan)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|sf
sfp@@sf@@sf@@Street Fighter (prototype)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|sf
tigeroad@@-@@-@@Tiger Road (US)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom (Romstar license)|dev-unknown|No Rating|media-unknown|input-unknown|tigeroad
toramich@@tigeroad@@tigeroad@@Tora-he no Michi (Japan)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|tigeroad
tigerodb@@tigeroad@@tigeroad@@Tiger Road (US bootleg)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|tigeroad
f1dream@@-@@-@@F-1 Dream|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Capcom (Romstar license)|dev-unknown|No Rating|media-unknown|input-unknown|tigeroad
f1dreamb@@f1dream@@f1dream@@F-1 Dream (bootleg)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|tigeroad
1943kai@@-@@-@@1943 Kai: Midway Kaisen (Japan)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|1943
lastduel@@-@@-@@Last Duel (US set 1)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lastduel
lstduela@@lastduel@@lastduel@@Last Duel (US set 2)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lastduel
lstduelb@@lastduel@@lastduel@@Last Duel (bootleg)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|lastduel
madgear@@-@@-@@Mad Gear (US)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lastduel
madgearj@@madgear@@madgear@@Mad Gear (Japan)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lastduel
ledstorm@@madgear@@madgear@@Led Storm (US)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|lastduel
forgottn@@-@@-@@Forgotten Worlds (US)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
lostwrld@@forgottn@@forgottn@@Lost Worlds (Japan)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
ghouls@@-@@-@@Ghouls'n Ghosts (World)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
ghoulsu@@ghouls@@ghouls@@Ghouls'n Ghosts (US)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
daimakai@@ghouls@@ghouls@@Dai Makai-Mura (Japan)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
strider@@-@@-@@Strider (US set 1)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
stridrua@@strider@@strider@@Strider (US set 2)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
striderj@@strider@@strider@@Strider Hiryu (Japan set 1)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
stridrja@@strider@@strider@@Strider Hiryu (Japan set 2)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
dynwar@@-@@-@@Dynasty Wars (World)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
dynwarj@@dynwar@@dynwar@@Tenchi wo Kurau (Japan)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
willow@@-@@-@@Willow (US)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
willowj@@willow@@willow@@Willow (Japan, Japanese)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
willowje@@willow@@willow@@Willow (Japan, English)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
unsquad@@-@@-@@U.N. Squadron (US)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
area88@@unsquad@@unsquad@@Area 88 (Japan)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
ffight@@-@@-@@Final Fight (World)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
ffightu@@ffight@@ffight@@Final Fight (US 900112)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
ffightua@@ffight@@ffight@@Final Fight (US 900613)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
ffightj@@ffight@@ffight@@Final Fight (Japan)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
ffightj1@@ffight@@ffight@@Final Fight (Japan 900305)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
1941@@-@@-@@1941 - Counter Attack (World)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
1941j@@1941@@1941@@1941 - Counter Attack (Japan)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
mercs@@-@@-@@Mercs (World 900302)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
mercsu@@mercs@@mercs@@Mercs (US 900302)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
mercsua@@mercs@@mercs@@Mercs (US 900608)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
mercsj@@mercs@@mercs@@Senjou no Ookami II (Japan 900302)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
mtwins@@-@@-@@Mega Twins (World 900619)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
chikij@@mtwins@@mtwins@@Chiki Chiki Boys (Japan 900619)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
msword@@-@@-@@Magic Sword - Heroic Fantasy (World 900725)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
mswordr1@@msword@@msword@@Magic Sword - Heroic Fantasy (World 900623)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
mswordu@@msword@@msword@@Magic Sword - Heroic Fantasy (US 900725)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
mswordj@@msword@@msword@@Magic Sword (Japan 900623)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
cawing@@-@@-@@Carrier Air Wing (World 901012)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
cawingr1@@cawing@@cawing@@Carrier Air Wing (World 901009)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
cawingu@@cawing@@cawing@@Carrier Air Wing (US 901012)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
cawingj@@cawing@@cawing@@U.S. Navy (Japan 901012)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
nemo@@-@@-@@Nemo (World 901130)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
nemoj@@nemo@@nemo@@Nemo (Japan 901120)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2@@-@@-@@Street Fighter II - The World Warrior (World 910522)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2eb@@sf2@@sf2@@Street Fighter II - The World Warrior (World 910214)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ua@@sf2@@sf2@@Street Fighter II - The World Warrior (US 910206)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ub@@sf2@@sf2@@Street Fighter II - The World Warrior (US 910214)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ud@@sf2@@sf2@@Street Fighter II - The World Warrior (US 910318)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ue@@sf2@@sf2@@Street Fighter II - The World Warrior (US 910228)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2uf@@sf2@@sf2@@Street Fighter II - The World Warrior (US 910411)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ui@@sf2@@sf2@@Street Fighter II - The World Warrior (US 910522)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2uk@@sf2@@sf2@@Street Fighter II - The World Warrior (US 911101)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2j@@sf2@@sf2@@Street Fighter II - The World Warrior (Japan 911210)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ja@@sf2@@sf2@@Street Fighter II - The World Warrior (Japan 910214)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2jc@@sf2@@sf2@@Street Fighter II - The World Warrior (Japan 910306)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
3wonders@@-@@-@@Three Wonders (World 910520)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
3wonderu@@3wonders@@3wonders@@Three Wonders (US 910520)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
wonder3@@3wonders@@3wonders@@Wonder 3 (Japan 910520)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
kod@@-@@-@@The King of Dragons (World 910711)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
kodu@@kod@@kod@@The King of Dragons (US 910910)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
kodj@@kod@@kod@@The King of Dragons (Japan 910805)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
kodb@@kod@@kod@@The King of Dragons (bootleg)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
captcomm@@-@@-@@Captain Commando (World 911014)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
captcomu@@captcomm@@captcomm@@Captain Commando (US 910928)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
captcomj@@captcomm@@captcomm@@Captain Commando (Japan 911202)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
knights@@-@@-@@Knights of the Round (World 911127)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
knightsu@@knights@@knights@@Knights of the Round (US 911127)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
knightsj@@knights@@knights@@Knights of the Round (Japan 911127)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ce@@-@@-@@Street Fighter II' - Champion Edition (World 920313)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ceua@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (US 920313)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ceub@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (US 920513)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2ceuc@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (US 920803)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2cej@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (Japan 920513)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|Capcom|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2rb@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (Rainbow set 1)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2rb2@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (Rainbow set 2)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2red@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (Red Wave)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2v004@@sf2ce@@sf2ce@@Street Fighter II! - Champion Edition (V004)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2accp2@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (Accelerator Pt.II)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2m1@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (M1)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2m2@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (M2)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2m3@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (M3)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2m4@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (M4)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2m5@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (M5)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2m6@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (M6)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2m7@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (M7)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2yyc@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (YYC)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
sf2koryu@@sf2ce@@sf2ce@@Street Fighter II' - Champion Edition (Kouryu)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|cps1
